# Region type :   patch inlet
# Faces           : 120
# Area            : 5.0000000000e-03
# Scale factor    : 1.0000000000e+00
# Time            	sum(myPhi)
0.36              	-4.2407154263e-02
0.360392          	-4.3043028009e-02
0.360838          	-4.3772331060e-02
0.361356          	-4.4743123548e-02
0.361834          	-4.4202844017e-02
0.362368          	-4.4958208120e-02
0.362976          	-4.5923532979e-02
0.363477          	-4.4489043130e-02
0.36388           	-4.3179112227e-02
0.364328          	-4.3794782237e-02
0.364788          	-4.3972477720e-02
0.365279          	-4.4373310039e-02
0.365787          	-4.4597881846e-02
0.366355          	-4.5404938505e-02
0.367005          	-4.6457121406e-02
0.367727          	-4.7362151643e-02
0.368449          	-4.7325243710e-02
0.36893           	-4.4175360188e-02
0.369433          	-4.4482019683e-02
0.369914          	-4.4177022101e-02
0.370418          	-4.4500031880e-02
0.370982          	-4.5282571525e-02
0.371512          	-4.4838149393e-02
0.372078          	-4.5304473812e-02
0.372687          	-4.5865609366e-02
0.37325           	-4.5242540517e-02
0.373864          	-4.5909347996e-02
0.374545          	-4.6773855548e-02
0.375227          	-4.6749647187e-02
0.375661          	-4.3506407321e-02
0.376143          	-4.4164742195e-02
0.376694          	-4.5072039665e-02
0.377355          	-4.6493167938e-02
0.378017          	-4.6469054619e-02
0.378512          	-4.4315764583e-02
0.379008          	-4.4328927322e-02
0.379504          	-4.4331930736e-02
0.38              	-4.4334801095e-02
0.380476          	-4.4077322681e-02
0.380883          	-4.3155861249e-02
0.381338          	-4.3812714070e-02
0.381744          	-4.3152220584e-02
0.3822            	-4.3840017928e-02
0.382709          	-4.4535046721e-02
0.383217          	-4.4533738389e-02
0.383796          	-4.5457613645e-02
0.384444          	-4.6348308940e-02
0.385             	-4.5130657625e-02
0.3855            	-4.4405835898e-02
0.386057          	-4.5170917774e-02
0.386424          	-4.2627943995e-02
0.386836          	-4.3242172244e-02
0.387306          	-4.4033810238e-02
0.387835          	-4.4813717710e-02
0.388443          	-4.5848627164e-02
0.389021          	-4.5438999406e-02
0.389667          	-4.6319981729e-02
0.390356          	-4.6854664215e-02
0.390999          	-4.6246414192e-02
0.391374          	-4.2721072494e-02
0.391805          	-4.3493880136e-02
0.392287          	-4.4172951832e-02
0.392801          	-4.4598721793e-02
0.393315          	-4.4598517290e-02
0.393872          	-4.5163691908e-02
0.394344          	-4.4029738858e-02
0.394858          	-4.4606730407e-02
0.395429          	-4.5356454904e-02
0.395937          	-4.4516242592e-02
0.396518          	-4.5475759512e-02
0.396953          	-4.3551322971e-02
0.397461          	-4.4530046219e-02
0.398096          	-4.6188340622e-02
0.39873           	-4.6166634034e-02
0.399365          	-4.6157927582e-02
0.4               	-4.6149300382e-02
0.400571          	-4.5321535817e-02
0.401127          	-4.5111915720e-02
0.401483          	-4.2468991867e-02
0.401877          	-4.2994278367e-02
0.402319          	-4.3644361471e-02
0.40281           	-4.4301215397e-02
0.403364          	-4.5137060726e-02
0.40398           	-4.5934042783e-02
0.404677          	-4.6953594794e-02
0.405188          	-4.4527953187e-02
0.405757          	-4.5314931631e-02
0.406351          	-4.5617225760e-02
0.406791          	-4.3599305365e-02
0.40728           	-4.4262923818e-02
0.407833          	-4.5104064133e-02
0.408442          	-4.5818843302e-02
0.40905           	-4.5808260338e-02
0.409626          	-4.5388102685e-02
0.410275          	-4.6319734249e-02
0.410698          	-4.3356611169e-02
0.411187          	-4.4261564555e-02
0.411554          	-4.2624848429e-02
0.411957          	-4.3108047791e-02
0.412403          	-4.3712495439e-02
0.41291           	-4.4507867538e-02
0.413455          	-4.5020068404e-02
0.41405           	-4.5664994015e-02
0.414546          	-4.4356114784e-02
0.415091          	-4.5019683276e-02
0.415637          	-4.5015448852e-02
0.416122          	-4.4215556470e-02
0.416509          	-4.2923500943e-02
0.416946          	-4.3587328094e-02
0.417455          	-4.4560700515e-02
0.417964          	-4.4557609036e-02
0.418473          	-4.4559127089e-02
0.418982          	-4.4560754706e-02
0.419491          	-4.4562567137e-02
0.42              	-4.4563991014e-02
0.420571          	-4.5388448321e-02
0.421097          	-4.4770274065e-02
0.421536          	-4.3635211288e-02
0.422035          	-4.4438514577e-02
0.422484          	-4.3770015441e-02
0.422985          	-4.4463312979e-02
0.423471          	-4.4271349885e-02
0.424022          	-4.5134872645e-02
0.424537          	-4.4658041949e-02
0.425006          	-4.4036736401e-02
0.425541          	-4.4933729902e-02
0.426008          	-4.4008470269e-02
0.426445          	-4.3623926754e-02
0.426929          	-4.4259013188e-02
0.427396          	-4.4026906218e-02
0.427816          	-4.3401922256e-02
0.428285          	-4.4062993954e-02
0.428817          	-4.4916390050e-02
0.429326          	-4.4588713851e-02
0.429887          	-4.5300578645e-02
0.43042           	-4.4901420682e-02
0.430983          	-4.5316013123e-02
0.431375          	-4.3015631503e-02
0.431806          	-4.3559669522e-02
0.432288          	-4.4244984288e-02
0.432839          	-4.5160732437e-02
0.43349           	-4.6463980765e-02
0.434082          	-4.5668967687e-02
0.434505          	-4.3421848147e-02
0.434963          	-4.3908805439e-02
0.435421          	-4.3909873356e-02
0.435929          	-4.4594002711e-02
0.436336          	-4.3223386973e-02
0.436794          	-4.3920616206e-02
0.437329          	-4.4941104243e-02
0.437997          	-4.6684077946e-02
0.438497          	-4.4467204394e-02
0.438873          	-4.2791527330e-02
0.439249          	-4.2801315756e-02
0.439624          	-4.2806257023e-02
0.44              	-4.2811035435e-02
0.440435          	-4.3621171320e-02
0.440842          	-4.3252318435e-02
0.441218          	-4.2820710042e-02
0.441635          	-4.3396825429e-02
0.442106          	-4.4123620194e-02
0.44259           	-4.4292874395e-02
0.443048          	-4.3949108758e-02
0.443462          	-4.3345511839e-02
0.443934          	-4.4152397918e-02
0.44447           	-4.4994778792e-02
0.444926          	-4.3930341534e-02
0.445446          	-4.4783857206e-02
0.446028          	-4.5605548610e-02
0.446494          	-4.4041400413e-02
0.447013          	-4.4770765618e-02
0.447533          	-4.4764928862e-02
0.4481            	-4.5390489808e-02
0.448525          	-4.3485045021e-02
0.449003          	-4.4213104456e-02
0.449526          	-4.4820370823e-02
0.450003          	-4.4177985897e-02
0.450457          	-4.3890272068e-02
0.450959          	-4.4536830693e-02
0.451435          	-4.4178074630e-02
0.45197           	-4.4976610080e-02
0.452472          	-4.4522874087e-02
0.453051          	-4.5550331863e-02
0.45346           	-4.3259582077e-02
0.453869          	-4.3270919548e-02
0.45434           	-4.4126861714e-02
0.454812          	-4.4124083927e-02
0.455331          	-4.4757762313e-02
0.45585           	-4.4752264604e-02
0.456311          	-4.3977481362e-02
0.456838          	-4.4865738610e-02
0.45729           	-4.3849001536e-02
0.457741          	-4.3854838430e-02
0.458193          	-4.3856715450e-02
0.458494          	-4.1795675592e-02
0.458871          	-4.2845658366e-02
0.459247          	-4.2846862055e-02
0.459624          	-4.2851052908e-02
0.46              	-4.2855142410e-02
0.460426          	-4.3532019019e-02
0.460903          	-4.4237057854e-02
0.461433          	-4.4946895612e-02
0.461964          	-4.4938622395e-02
0.462565          	-4.5873437335e-02
0.462894          	-4.2185767210e-02
